#1
7,8,0,2,6,0,0,0,0
3,2,4,0,0,9,5,0,0
1,6,0,0,3,5,4,0,2
0,1,0,4,2,8,0,0,9
4,0,3,5,0,7,0,0,0
2,0,0,6,0,3,7,0,4
9,0,0,0,0,1,8,0,5
0,0,1,9,8,0,6,3,7
8,7,0,0,5,6,9,4,1

#2 select
0,1,8,0,0,0,3,2,0
2,5,0,0,0,0,0,4,6
0,0,4,6,5,2,1,0,0
0,0,6,0,7,0,2,0,0
0,2,0,0,4,0,0,5,0
0,0,3,1,0,8,7,0,0
0,0,2,5,3,9,4,0,0
4,9,0,0,0,0,0,8,3
0,7,0,0,0,0,0,9,0

#3
0,6,4,3,0,0,8,0,0
2,0,0,0,1,0,4,0,9
3,0,8,0,7,0,0,2,0
0,8,0,0,0,0,9,5,1
0,0,0,0,0,0,0,0,0
5,4,9,0,0,0,0,7,0
0,9,0,0,8,0,1,0,5
1,0,6,0,2,0,0,0,4
0,0,5,0,0,4,7,9,0

#4
0,0,0,0,4,0,5,1,0
9,0,0,0,0,0,0,0,3
6,0,1,0,0,0,0,0,2
0,0,0,0,0,0,0,0,9
0,4,0,2,0,1,0,5,0
7,1,0,0,9,0,0,0,0
0,0,0,0,0,6,3,0,0
3,0,0,0,7,0,0,0,6
0,0,0,0,0,0,0,4,0

#5
0,0,0,0,0,3,7,9,0
8,6,0,0,0,5,0,2,0
4,0,0,0,0,0,0,0,0
9,1,0,0,0,8,0,0,0
0,0,0,0,1,0,0,0,0
0,0,0,3,0,0,0,7,2
0,0,0,0,0,0,0,0,7
0,3,0,6,0,0,0,1,4
0,8,5,9,0,0,0,0,0

#6
0,0,0,0,0,0,0,0,0
0,0,1,0,0,2,0,0,3
0,5,0,0,8,0,0,9,0
0,0,0,0,0,0,7,0,0
0,0,2,0,0,4,0,0,1
0,8,0,0,9,0,0,5,0
0,0,0,5,0,0,0,0,0
0,0,7,0,0,1,0,0,2
0,9,0,0,3,0,0,8,0

#7
0,0,0,5,0,2,0,0,0
0,0,4,0,0,0,3,0,0
0,6,0,0,1,0,0,8,0
8,0,0,3,0,0,0,0,9
0,0,7,0,0,0,5,0,0
9,0,0,0,0,4,0,0,0
0,5,0,0,6,0,0,7,0
0,0,3,0,0,0,4,0,0
0,0,0,1,0,8,0,0,0
